iter	Accuracy	MultiClass
0	0.8684210526	0.677574423
1	0.8684210526	0.6618006801
2	0.8684210526	0.6479037067
3	0.8684210526	0.6337169615
4	0.8684210526	0.6213900371
5	0.8684210526	0.6097707623
6	0.8684210526	0.598617178
7	0.8684210526	0.5879093512
8	0.8684210526	0.5779629856
9	0.8684210526	0.5682999755
10	0.8684210526	0.5590610289
11	0.8684210526	0.550544889
12	0.8684210526	0.5414650802
13	0.8684210526	0.5337392355
14	0.8684210526	0.5263535831
15	0.8684210526	0.5186015659
16	0.8684210526	0.512022832
17	0.8684210526	0.5056272214
18	0.8684210526	0.4995244122
19	0.8684210526	0.4937236846
20	0.8684210526	0.4875517934
21	0.8684210526	0.4824464368
22	0.8684210526	0.4766871633
23	0.8684210526	0.4713121846
24	0.8684210526	0.4667855206
25	0.8684210526	0.4625622939
26	0.8684210526	0.4583892622
27	0.8684210526	0.4539148412
28	0.8684210526	0.4494804808
29	0.8684210526	0.4459387678
30	0.8684210526	0.4424900239
31	0.8684210526	0.4386821624
32	0.8684210526	0.435591943
33	0.8684210526	0.4327367522
34	0.8684210526	0.4299783587
35	0.8684210526	0.4266558683
36	0.8684210526	0.4236610438
37	0.8684210526	0.4212790124
38	0.8684210526	0.4185341104
39	0.8684210526	0.4158506971
40	0.8684210526	0.413677851
41	0.8684210526	0.4115988475
42	0.8684210526	0.409617674
43	0.8684210526	0.4073319775
44	0.8684210526	0.4054569064
45	0.8684210526	0.4038173574
46	0.8684210526	0.4017825644
47	0.8684210526	0.4003720237
48	0.8684210526	0.3989336898
49	0.8684210526	0.3975015313
50	0.8684210526	0.3956611746
51	0.8684210526	0.3944280186
52	0.8684210526	0.3927723158
53	0.8684210526	0.3911339581
54	0.8684210526	0.3897998101
55	0.8684210526	0.388679065
56	0.8684210526	0.387601105
57	0.8684210526	0.3862852017
58	0.8684210526	0.3850500723
59	0.8684210526	0.3837697949
60	0.8684210526	0.3830117271
61	0.8684210526	0.3818191608
62	0.8684210526	0.3807587552
63	0.8684210526	0.3798142413
64	0.8684210526	0.3791076169
65	0.8684210526	0.3780845406
66	0.8684210526	0.3772531915
67	0.8684210526	0.3767204576
68	0.8684210526	0.3760863145
69	0.8684210526	0.3752629042
70	0.8684210526	0.3746922375
71	0.8684210526	0.374134188
72	0.8684210526	0.3734275101
73	0.8684210526	0.372916902
74	0.8684210526	0.3723779309
75	0.8684210526	0.3717463764
76	0.8684210526	0.3712253578
77	0.8684210526	0.3706571989
78	0.8701754386	0.3699841126
79	0.8771929825	0.3693203686
80	0.8771929825	0.3687059498
81	0.8789473684	0.3682026642
82	0.8789473684	0.3677937045
83	0.8789473684	0.3672382956
84	0.8789473684	0.3669815405
85	0.8789473684	0.3666107444
86	0.8789473684	0.3661069356
87	0.8789473684	0.365741887
88	0.8789473684	0.3654037028
89	0.8789473684	0.3649872752
90	0.8789473684	0.3646996929
91	0.8789473684	0.3644372032
92	0.8789473684	0.3641777929
93	0.8789473684	0.3637845948
94	0.8789473684	0.3634355707
95	0.8789473684	0.3628517214
96	0.8789473684	0.3626229617
97	0.8789473684	0.3623103066
98	0.8789473684	0.3620467789
99	0.8789473684	0.3616655191
100	0.8789473684	0.3614612694
101	0.8789473684	0.3612713962
102	0.8789473684	0.3610476265
103	0.8789473684	0.3608109862
104	0.8789473684	0.3604896882
105	0.8789473684	0.3602343399
106	0.8789473684	0.3599849704
107	0.8789473684	0.3598741696
108	0.8789473684	0.3597223341
109	0.8789473684	0.3594829952
110	0.8789473684	0.3591663115
111	0.8789473684	0.3589403489
112	0.8789473684	0.3588198124
113	0.8789473684	0.3586347516
114	0.8789473684	0.358440992
115	0.8789473684	0.3582710122
116	0.8789473684	0.35800334
117	0.8789473684	0.3577689756
118	0.8789473684	0.3576277834
119	0.8789473684	0.35751083
120	0.8789473684	0.3573220052
121	0.8789473684	0.3571505764
122	0.8789473684	0.3570762581
123	0.8789473684	0.3568284753
124	0.8807017544	0.356589292
125	0.8807017544	0.3563620156
126	0.8807017544	0.3561319647
127	0.8824561404	0.3559212786
128	0.8824561404	0.3558175108
