iter	Passed	Remaining
0	0	183
1	1	168
2	1	161
3	2	155
4	2	151
5	3	149
6	3	147
7	4	147
8	4	147
9	5	145
10	5	144
11	6	149
12	6	149
13	7	148
14	7	147
15	8	145
16	8	144
17	9	143
18	9	142
19	10	142
20	10	141
21	11	141
22	11	141
23	12	141
24	12	141
25	13	141
26	13	140
27	14	139
28	14	138
29	15	137
30	15	137
31	16	136
32	16	135
33	17	135
34	17	135
35	18	134
36	18	134
37	19	133
38	19	133
39	20	132
40	20	131
41	21	131
42	21	130
43	22	130
44	22	129
45	23	128
46	23	127
47	24	127
48	24	126
49	25	125
50	25	125
51	26	124
52	26	123
53	27	123
54	27	123
55	28	123
56	28	123
57	29	122
58	29	122
59	30	121
60	30	121
61	31	120
62	31	120
63	32	119
64	32	119
65	33	118
66	33	117
67	34	117
68	34	117
69	35	116
70	35	115
71	36	115
72	36	114
73	37	114
74	38	114
75	38	113
76	38	112
77	39	112
78	39	111
79	40	111
80	40	110
81	41	110
82	41	109
83	42	109
84	42	108
85	43	107
86	43	107
87	44	106
88	45	106
89	45	106
90	46	105
91	46	105
92	47	104
93	47	104
94	48	103
95	48	103
96	49	102
97	49	102
98	50	101
99	50	101
100	51	100
101	51	100
102	52	99
103	52	99
104	53	98
105	53	98
106	54	97
107	54	96
108	55	96
109	55	95
110	56	95
111	56	94
112	56	94
113	57	93
114	57	93
115	58	92
116	58	92
117	59	91
118	59	91
119	60	90
120	60	90
121	61	89
122	61	88
123	62	88
124	62	87
125	63	87
126	63	86
127	64	86
128	64	85
129	65	85
130	65	84
131	66	84
132	66	84
133	67	83
134	67	83
135	68	82
136	69	82
137	69	81
138	70	81
139	70	80
140	71	80
141	71	79
142	72	79
143	72	78
144	73	78
145	73	77
146	74	77
147	74	76
148	75	76
149	75	75
150	76	75
151	76	74
152	77	74
153	77	73
154	78	73
155	78	72
156	79	72
157	79	71
158	80	71
159	80	70
160	81	69
161	81	69
162	81	68
163	82	68
164	82	67
165	83	67
166	83	66
167	84	66
168	84	65
169	85	65
170	85	64
171	85	63
172	86	63
173	86	62
174	87	62
175	88	62
176	88	61
177	89	61
178	89	60
179	90	60
180	90	59
181	91	59
182	91	58
183	92	58
184	92	57
185	92	56
186	93	56
187	93	55
188	94	55
189	94	54
190	95	54
191	95	53
192	96	53
193	96	52
194	97	52
195	97	51
196	98	51
197	98	50
198	98	50
199	99	49
200	99	49
201	100	48
202	100	48
203	101	47
204	101	47
205	102	46
206	102	46
207	103	45
208	103	45
209	104	44
210	104	44
211	105	43
212	105	43
213	105	42
214	106	42
215	107	41
216	107	41
217	108	40
218	108	40
219	108	39
220	109	39
221	109	38
222	110	38
223	110	37
224	111	37
225	111	36
226	112	36
227	112	35
228	113	35
229	113	34
230	114	34
231	114	33
232	114	33
233	115	32
234	115	32
235	116	31
236	116	31
237	117	30
238	117	30
239	118	29
240	118	29
241	119	28
242	119	28
243	120	27
244	120	27
245	121	26
246	121	26
247	121	25
248	122	25
249	122	24
250	123	24
251	123	23
252	124	23
253	124	22
254	125	22
255	125	21
256	126	21
257	126	20
258	127	20
259	127	19
260	128	19
261	128	18
262	129	18
263	129	17
264	130	17
265	130	16
266	131	16
267	131	15
268	132	15
269	132	14
270	132	14
271	133	13
272	133	13
273	134	12
274	134	12
275	135	11
276	135	11
277	136	10
278	136	10
279	137	9
280	137	9
281	138	8
282	138	8
283	139	7
284	139	7
285	139	6
286	140	6
287	140	5
288	141	5
289	141	4
290	142	4
291	142	3
292	142	3
293	143	2
294	143	2
295	144	1
296	144	1
297	145	0
298	145	0
299	146	0
